# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1701, 3.3847
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.6000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0117, 8.4243, 27.0338
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0100, 0.0054, 7.1836, 3.3689
0.7000, 0.5000, 0.4000, 0.9500, 71.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0082, 0.0116, 8.4260, 27.1913
