# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.2000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5027, 3.6820
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
0.3000, 0.2000, 0.1000, 0.5000, 72.0000, -1.0000, 0.0000, 1.0000, 1.0000, 0.0102, 0.0054, 6.5014, 3.7059
