# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.4000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0109, 3.8249, 45.5957
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.8000, 0.6000, 0.5000, 1.1000, 72.0000, 82.0000, 0.0000, 0.0000, 0.0000, 0.0085, 0.0125, 4.0176, 3.8159
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
0.5000, 0.4000, 0.3000, 0.8000, 72.0000, -1.0000, 0.0000, 0.0000, 1.0000, 0.0086, 0.0110, 3.6947, 45.9068
