# opp_gamma, obs_gamma, live_gamma, liveness_thresh, goal_reach_idx0, goal_reach_idx1, traj_collision, obs_collision_0, obs_collision_1, delta_vel_0, delta_vel_1, path_dev_0, path_dev_1
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.8000, 0.6000, 0.5000, 1.1000, 56.0000, 68.0000, 0.0000, 0.0000, 0.0000, 0.0129, 0.0142, 1.2047, 1.1338
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.8000, 0.6000, 0.5000, 1.1000, 56.0000, 68.0000, 0.0000, 0.0000, 0.0000, 0.0129, 0.0142, 1.2047, 1.1338
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.8000, 0.6000, 0.5000, 1.1000, 56.0000, 68.0000, 0.0000, 0.0000, 0.0000, 0.0129, 0.0142, 1.2047, 1.1338
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.8000, 0.6000, 0.5000, 1.1000, 56.0000, 68.0000, 0.0000, 0.0000, 0.0000, 0.0129, 0.0142, 1.2047, 1.1338
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.8000, 0.6000, 0.5000, 1.1000, 56.0000, 68.0000, 0.0000, 0.0000, 0.0000, 0.0129, 0.0142, 1.2047, 1.1338
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
0.2000, 0.2000, 0.1000, 0.5000, 57.0000, 80.0000, 0.0000, 0.0000, 0.0000, 0.0132, 0.0156, 1.1726, 2.3885
0.5000, 0.4000, 0.3000, 0.8000, 56.0000, 71.0000, 0.0000, 0.0000, 0.0000, 0.0128, 0.0164, 1.0406, 1.2290
